Year,Country,Partner Country,FTA,FTA Weight,Other Agreements,Tariff %,Product Tariffed,Weight in Exports
2017,CHN,JPN,,0,0.2,,,
2017,CHN,KOR,,1,0.2,,,
2017,CHN,MYS,ACFTA,1,,,,
2017,CHN,SAU,,0,0.8,,,
2017,CHN,THA,ACFTA,1,,,,
2017,CHN,USA,,0,0.4,10,,10
2017,HKG,JPN,,0,1,,,
2017,HKG,KOR,,0,1,,,
2017,HKG,MYS,,1,0.4,,,
2017,HKG,SAU,,0,0.5,,,
2017,HKG,THA,,1,0.4,,,
2017,HKG,USA,,0,1,,,
2017,JPN,KOR,,0,1,,,
2017,JPN,MYS,,1,1,,,
2017,JPN,SAU,,0,0.6,,,
2017,JPN,THA,,1,,,,
2017,JPN,USA,,0,0.5,,,
2017,KOR,MYS,,1,,,,
2017,KOR,SAU,,0,0.5,,,
2017,KOR,THA,,1,,,,
2017,KOR,USA,,1,,,,
2017,MYS,SAU,,1,0.5,,,
2017,MYS,THA,,1,,,,
2017,MYS,USA,,0,0.5,,,
2017,SAU,THA,,0,0.6,,,
2017,SAU,USA,,0,1,,,
2017,THA,USA,,0,0.6,,,
2017,IDN,CHN,,1,,,,
2017,IDN,HKG,,1,,,,
2017,IDN,JPN,,1,,,,
2017,IDN,KOR,,0,,,,
2017,IDN,MYS,,1,,,,
2017,IDN,SAU,,0,,,,
2017,IDN,THA,,1,,,,
2017,IDN,SG,,1,,,,
2017,IDN,USA,,0,,,,
2018,SGP,CHN,,1,0.8,,,
2018,SGP,HKG,,1,0.8,,,
2018,SGP,JPN,,1,0.8,,,
2018,SGP,KOR,,1,0.8,,,
2018,SGP,MYS,ASEAN,1,1,,,
2018,SGP,SAU,,1,0.8,,,
2018,SGP,THA,ASEAN,1,0.8,,,
2018,SGP,USA,,1,0.8,,,
2018,CHN,HKG,,1,,,,
2018,CHN,JPN,,0,0.5,,,
2018,CHN,KOR,,1,,,,
2018,CHN,MYS,ACFTA,1,,,,
2018,CHN,SAU,,1,,,,
2018,CHN,THA,ACFTA,1,,,,
2018,CHN,USA,,0,0.5,10,,10
2018,HKG,JPN,,1,,,,
2018,HKG,KOR,,1,,,,
2018,HKG,MYS,,1,,,,
2018,HKG,SAU,,1,,,,
2018,HKG,THA,,1,,,,
2018,HKG,USA,,1,,,,
2018,JPN,KOR,,1,1,,,
2018,JPN,MYS,,1,,,,
2018,JPN,SAU,,1,,,,
2018,JPN,THA,,1,,,,
2018,JPN,USA,,1,,,,
2018,KOR,MYS,,1,,,,
2018,KOR,SAU,,0,0.5,,,
2018,KOR,THA,,1,,,,
2018,KOR,USA,,1,,,,
2018,MYS,SAU,,0,0.5,,,
2018,MYS,THA,,1,,,,
2018,MYS,USA,,1,,,,
2018,SAU,THA,,1,,,,
2018,SAU,USA,,1,,,,
2018,THA,USA,,0,0.6,,,
2018,IDN,CHN,,1,,,,
2018,IDN,HKG,,1,,,,
2018,IDN,JPN,,1,,,,
2018,IDN,KOR,,0,,,,
2018,IDN,MYS,,1,,,,
2018,IDN,SAU,,0,,,,
2018,IDN,THA,,1,,,,
2018,IDN,SG,,1,,,,
2018,IDN,USA,,0,,,,
2019,SGP,CHN,,1,0.8,,,
2019,SGP,HKG,,1,0.8,,,
2019,SGP,JPN,,1,0.8,,,
2019,SGP,KOR,,1,0.8,,,
2019,SGP,MYS,ASEAN,1,1,,,
2019,SGP,SAU,,0,0.8,,,
2019,SGP,THA,ASEAN,1,0.8,,,
2019,SGP,USA,,1,0.8,,,
2019,CHN,HKG,,1,,,,
2019,CHN,JPN,,0,0.7,,,
2019,CHN,KOR,,1,,,,
2019,CHN,MYS,ACFTA,1,,,,
2019,CHN,SAU,,1,,,,
2019,CHN,THA,ACFTA,1,,,,
2019,CHN,USA,,0,0.5,15,,15
2019,HKG,JPN,,1,,,,
2019,HKG,KOR,,1,,,,
2019,HKG,MYS,,1,,,,
2019,HKG,SAU,,1,,,,
2019,HKG,THA,,1,,,,
2019,HKG,USA,,1,,,,
2019,JPN,KOR,,1,1,,,
2019,JPN,MYS,,1,,,,
2019,JPN,SAU,,1,,,,
2019,JPN,THA,,1,,,,
2019,JPN,USA,,1,,,,
2019,KOR,MYS,,1,,,,
2019,KOR,SAU,,0,0.5,,,
2019,KOR,THA,,1,,,,
2019,KOR,USA,,1,,,,
2019,MYS,SAU,,0,0.5,,,
2019,MYS,THA,,1,,,,
2019,MYS,USA,,1,,,,
2019,SAU,THA,,1,,,,
2019,SAU,USA,,1,,,,
2019,THA,USA,,0,0.6,,,
2019,IDN,CHN,,1,,,,
2019,IDN,HKG,,1,,,,
2019,IDN,JPN,,1,,,,
2019,IDN,KOR,,0,,,,
2019,IDN,MYS,,1,,,,
2019,IDN,SAU,,0,,,,
2019,IDN,THA,,1,,,,
2019,IDN,SG,,1,,,,
2019,IDN,USA,,0,,,,
2020,SGP,CHN,,1,0.8,,,
2020,SGP,HKG,,1,0.8,,,
2020,SGP,JPN,,1,0.8,,,
2020,SGP,KOR,,1,0.8,,,
2020,SGP,MYS,ASEAN,1,1,,,
2020,SGP,SAU,,0,0.8,,,
2020,SGP,THA,ASEAN,1,0.8,,,
2020,SGP,USA,,1,0.8,,,
2020,CHN,HKG,,1,,,,
2020,CHN,JPN,,0,0.7,,,
2020,CHN,KOR,,1,,,,
2020,CHN,MYS,ACFTA,1,,,,
2020,CHN,SAU,,1,,,,
2020,CHN,THA,ACFTA,1,,,,
2020,CHN,USA,,0,0.5,10,,10
2020,HKG,JPN,,1,,,,
2020,HKG,KOR,,1,,,,
2020,HKG,MYS,,1,,,,
2020,HKG,SAU,,1,,,,
2020,HKG,THA,,1,,,,
2020,HKG,USA,,1,,,,
2020,JPN,KOR,,1,1,,,
2020,JPN,MYS,,1,,,,
2020,JPN,SAU,,1,,,,
2020,JPN,THA,,1,,,,
2020,JPN,USA,,1,,,,
2020,KOR,MYS,,1,,,,
2020,KOR,SAU,,0,0.5,,,
2020,KOR,THA,,1,,,,
2020,KOR,USA,,1,,,,
2020,MYS,SAU,,0,0.5,,,
2020,MYS,THA,,1,,,,
2020,MYS,USA,,1,,,,
2020,SAU,THA,,1,,,,
2020,SAU,USA,,1,,,,
2020,THA,USA,,0,0.6,,,
2020,IDN,CHN,,1,,,,
2020,IDN,HKG,,1,,,,
2020,IDN,JPN,,1,,,,
2020,IDN,KOR,,0,,,,
2020,IDN,MYS,,1,,,,
2020,IDN,SAU,,0,,,,
2020,IDN,THA,,1,,,,
2020,IDN,SG,,1,,,,
2020,IDN,USA,,0,,,,
2021,SGP,CHN,,1,0.8,,,
2021,SGP,HKG,,1,0.8,,,
2021,SGP,JPN,,1,0.8,,,
2021,SGP,KOR,,1,0.8,,,
2021,SGP,MYS,ASEAN,1,1,,,
2021,SGP,SAU,,0,0.8,,,
2021,SGP,THA,ASEAN,1,0.8,,,
2021,SGP,USA,,1,0.8,,,
2021,CHN,HKG,,1,,,,
2021,CHN,JPN,,0,0.7,,,
2021,CHN,KOR,,1,,,,
2021,CHN,MYS,ACFTA,1,,,,
2021,CHN,SAU,,1,,,,
2021,CHN,THA,ACFTA,1,,,,
2021,CHN,USA,,0,0.5,10,,10
2021,HKG,JPN,,1,,,,
2021,HKG,KOR,,1,,,,
2021,HKG,MYS,,1,,,,
2021,HKG,SAU,,1,,,,
2021,HKG,THA,,1,,,,
2021,HKG,USA,,1,1,,,
2021,JPN,KOR,,1,1,,,
2021,JPN,MYS,,1,,,,
2021,JPN,SAU,,1,,,,
2021,JPN,THA,,1,,,,
2021,JPN,USA,,1,,,,
2021,KOR,MYS,,1,,,,
2021,KOR,SAU,,0,0.5,,,
2021,KOR,THA,,1,,,,
2021,KOR,USA,,1,,,,
2021,MYS,SAU,,0,0.5,,,
2021,MYS,THA,,1,,,,
2021,MYS,USA,,1,,,,
2021,SAU,THA,,1,,,,
2021,SAU,USA,,1,,,,
2021,THA,USA,,0,0.6,,,
2021,IDN,CHN,,1,,,,
2021,IDN,HKG,,1,,,,
2021,IDN,JPN,,1,,,,
2021,IDN,KOR,,0,,,,
2021,IDN,MYS,,1,,,,
2021,IDN,SAU,,0,,,,
2021,IDN,THA,,1,,,,
2021,IDN,SG,,1,,,,
2021,IDN,USA,,0,,,,
2022,SGP,CHN,,1,0.8,,,
2022,SGP,HKG,,1,0.8,,,
2022,SGP,JPN,,1,0.8,,,
2022,SGP,KOR,,1,0.8,,,
2022,SGP,MYS,ASEAN,1,1,,,
2022,SGP,SAU,,0,0.8,,,
2022,SGP,THA,ASEAN,1,0.8,,,
2022,SGP,USA,,1,0.8,,,
2022,CHN,HKG,,1,,,,
2022,CHN,JPN,,0,0.8,,,
2022,CHN,KOR,,1,,,,
2022,CHN,MYS,ACFTA,1,,,,
2022,CHN,SAU,,1,,,,
2022,CHN,THA,ACFTA,1,,,,
2022,CHN,USA,,0,0.5,15,,15
2022,HKG,JPN,,1,,,,
2022,HKG,KOR,,1,,,,
2022,HKG,MYS,,1,,,,
2022,HKG,SAU,,1,,,,
2022,HKG,THA,,1,,,,
2022,HKG,USA,,1,1,,,
2022,JPN,KOR,,1,1,,,
2022,JPN,MYS,,1,,,,
2022,JPN,SAU,,1,,,,
2022,JPN,THA,,1,,,,
2022,JPN,USA,,1,,,,
2022,KOR,MYS,,1,,,,
2022,KOR,SAU,,0,0.5,,,
2022,KOR,THA,,1,,,,
2022,KOR,USA,,1,,,,
2022,MYS,SAU,,0,0.5,,,
2022,MYS,THA,,1,,,,
2022,MYS,USA,,1,,,,
2022,SAU,THA,,1,,,,
2022,SAU,USA,,1,,,,
2022,THA,USA,,0,0.6,,,
2022,IDN,CHN,,1,,,,
2022,IDN,HKG,,1,,,,
2022,IDN,JPN,,1,,,,
2022,IDN,KOR,,0,,,,
2022,IDN,MYS,,1,,,,
2022,IDN,SAU,,0,,,,
2022,IDN,THA,,1,,,,
2022,IDN,SG,,1,,,,
2022,IDN,USA,,0,,,,
2023,SGP,CHN,,1,0.8,,,
2023,SGP,HKG,,1,0.8,,,
2023,SGP,JPN,,1,0.8,,,
2023,SGP,KOR,,1,0.8,,,
2023,SGP,MYS,ASEAN,1,1,,,
2023,SGP,SAU,,0,0.8,,,
2023,SGP,THA,ASEAN,1,0.8,,,
2023,SGP,USA,,1,0.8,,,
2023,CHN,HKG,,1,,,,
2023,CHN,JPN,,0,0.8,,,
2023,CHN,KOR,,1,,,,
2023,CHN,MYS,ACFTA,1,,,,
2023,CHN,SAU,,1,,,,
2023,CHN,THA,ACFTA,1,,,,
2023,CHN,USA,,0,0.2,20,,20
2023,HKG,JPN,,1,,,,
2023,HKG,KOR,,1,,,,
2023,HKG,MYS,,1,,,,
2023,HKG,SAU,,1,,,,
2023,HKG,THA,,1,,,,
2023,HKG,USA,,1,1,,,
2023,JPN,KOR,,1,1,,,
2023,JPN,MYS,,1,,,,
2023,JPN,SAU,,1,,,,
