typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","784","ARE","United Arab Emirates","0","W00","World","H4","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","63708578.097",,"63708578.097","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","99282680.653",,"99282680.653","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","2505138670.19",,"2505138670.19","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","4153905349.036",,"4153905349.036","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","699","IND","India","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","219235396.045",,"219235396.045","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","704","VNM","Viet Nam","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","867942015.357",,"867942015.357","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","784","ARE","United Arab Emirates","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","73578243.026",,"73578243.026","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","90","Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","104913921.89",,"104913921.89","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","90","Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","834885888.228",,"834885888.228","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","90","Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","42501899.023",,"42501899.023","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","699","IND","India","0","W00","World","H4","HS","true","90","Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","118466071.356",,"118466071.356","0","false","true",
