Year,Product,HS Code,Country,Imports,Exports,Trade Volume
2015,Jewellery & Precious Metals,71.0,Saudi Arabia,33730428.69,10372535.71,44102964.4
2015,Jewellery & Precious Metals,71.0,Malaysia,995526852.5,1344418821.0,2339945673.5
2015,Jewellery & Precious Metals,71.0,Japan,1831041403.0,315260730.9,2146302133.9
2015,Jewellery & Precious Metals,71.0,Indonesia,2402667235.0,1411944467.0,3814611702.0
2015,Jewellery & Precious Metals,71.0,China,333605647.9,3909897602.0,4243503249.9
2015,Mineral Fuels & Oils,27.0,United States,1577248503.0,895796924.8,2473045427.8
2015,Mineral Fuels & Oils,27.0,Thailand,1801853592.0,646680027.2,2448533619.2
2015,Jewellery & Precious Metals,71.0,South Korea,142267610.8,48096170.23,190363781.03
2015,Mineral Fuels & Oils,27.0,South Korea,4025131900.0,934262552.6,4959394452.6
2015,Base Metal Products,83.0,Japan,18719079.21,4950875.005,23669954.215
2015,Mineral Fuels & Oils,27.0,Saudi Arabia,5378727992.0,37990784.69,5416718776.69
2015,Base Metal Products,83.0,Malaysia,53886491.29,86122958.93,140009450.22
2015,Base Metal Products,83.0,South Korea,20143955.4,8159789.191,28303744.591
2015,Base Metal Products,83.0,Thailand,15155588.66,15580314.27,30735902.93
2015,Base Metal Products,83.0,Saudi Arabia,596.736,1630964.835,1631561.571
2015,Base Metal Products,83.0,United States,60598761.72,28520732.71,89119494.43
2015,Mineral Fuels & Oils,27.0,China,3511524547.0,3746010774.0,7257535321.0
2015,Mineral Fuels & Oils,27.0,Indonesia,4041597829.0,8045707054.0,12087304883.0
2015,Mineral Fuels & Oils,27.0,Japan,2076618578.0,380644421.1,2457262999.1
2015,Mineral Fuels & Oils,27.0,Malaysia,6828674039.0,10913841760.0,17742515799.0
2016,Organic Chemicals,29.0,Japan,210485270.3,285577073.1,496062343.4
2016,Organic Chemicals,29.0,Saudi Arabia,543548756.9,20462389.1,564011146.0
2016,Organic Chemicals,29.0,South Korea,103265479.7,240234709.0,343500188.7
2016,Organic Chemicals,29.0,Malaysia,268496455.6,779247966.0,1047744421.6
2016,Organic Chemicals,29.0,Thailand,155885973.6,502521448.6,658407422.2
2016,Organic Chemicals,29.0,Indonesia,110448627.3,779742462.1,890191089.4
2016,Optical & Medical Instruments,90.0,South Korea,141841477.4,820352182.4,962193659.8
2016,Optical & Medical Instruments,90.0,United States,3080867342.0,2891212966.0,5972080308.0
2016,Optical & Medical Instruments,90.0,Thailand,117505933.7,473097351.4,590603285.1
2016,Optical & Medical Instruments,90.0,Saudi Arabia,589522.972,47248344.56,47837867.532000005
2016,Optical & Medical Instruments,90.0,Malaysia,1265157693.0,1005312544.0,2270470237.0
2016,Optical & Medical Instruments,90.0,Japan,938238777.3,1166480620.0,2104719397.3
2016,Organic Chemicals,29.0,United States,869657321.0,1163655371.0,2033312692.0
2016,Organic Chemicals,29.0,China,637894602.1,2029936082.0,2667830684.1
2016,Plastics,39.0,China,588759404.5,4137307473.0,4726066877.5
2016,All Products,99.0,Malaysia,25703070313.84,30126704169.309998,55829774483.15
2016,Plastics,39.0,Japan,434870035.3,498882074.1,933752109.4
2016,Plastics,39.0,Malaysia,779860735.2,1488849303.0,2268710038.2
2016,Plastics,39.0,South Korea,211901289.9,244112314.2,456013604.1
2016,Plastics,39.0,Saudi Arabia,1761153290.0,53882555.56,1815035845.56
2016,Plastics,39.0,Thailand,184333323.7,704782334.3,889115658.0
2016,Plastics,39.0,United States,1077260736.0,337548262.6,1414808998.6
2016,All Products,99.0,United States,23226961412.510002,19450493473.91,42677454886.42
2016,All Products,99.0,Thailand,5761062218.663,10992336642.14,16753398860.803
2016,All Products,99.0,South Korea,15729040467.26,12546438513.99,28275478981.25
2016,All Products,99.0,Saudi Arabia,8099769064.66,586960206.758,8686729271.418
2016,All Products,99.0,Japan,16012548178.69,10414988327.939,26427536506.629
2016,All Products,99.0,Indonesia,10012159644.33,21498633400.79,31510793045.12
2016,All Products,99.0,China,31675356874.199997,39125783124.63,70801139998.83
2016,Optical & Medical Instruments,90.0,Indonesia,272460345.2,870405439.0,1142865784.2
2016,Plastics,39.0,Indonesia,134641765.8,1406484937.0,1541126702.8
2016,Optical & Medical Instruments,90.0,China,1405767270.0,2401662271.0,3807429541.0
2016,Mineral Fuels & Oils,27.0,Indonesia,3012922494.0,6671223711.0,9684146205.0
2016,Machinery & Boilers,84.0,Thailand,1321278155.0,2001297027.0,3322575182.0
2016,Base Metal Products,83.0,South Korea,17107356.0,9468759.75,26576115.75
2016,Base Metal Products,83.0,Malaysia,57819969.07,78415882.51,136235851.58
2016,Base Metal Products,83.0,Japan,13819269.69,6608816.739,20428086.429
2016,Base Metal Products,83.0,Indonesia,10410594.69,61156408.39,71567003.08
2016,Base Metal Products,83.0,China,116348959.8,22728837.43,139077797.23
2016,Cosmetics & Fragrances,33.0,United States,451141593.3,219219756.8,670361350.1
2016,Cosmetics & Fragrances,33.0,Thailand,71351593.23,518711120.1,590062713.33
2016,Cosmetics & Fragrances,33.0,Saudi Arabia,4270065.578,3346338.108,7616403.686
2016,Cosmetics & Fragrances,33.0,South Korea,114174548.8,837174705.3,951349254.1
2016,Cosmetics & Fragrances,33.0,Malaysia,65569780.17,286760968.5,352330748.67
2016,Cosmetics & Fragrances,33.0,Japan,217805156.6,319539971.8,537345128.4
