Country Code,Year,GDP,GDP_normalized
SAU,1991,132223000000.0,0.021471290797693457
SGP,1991,45466164978.0,0.007383112239916988
THA,1991,98234714971.0,0.015952036571329282
USA,1991,6158130000000.0,1.0
CHN,1992,426916000000.0,0.06547460021195246
HKG,1992,104273000000.0,0.015991982000910995
JPN,1992,3980700000000.0,0.610505909976949
KOR,1992,355525000000.0,0.05452561450110654
MYS,1992,59167550163.0,0.009074318349378023
SAU,1992,137088000000.0,0.021024702737438134
SGP,1992,52131320033.0,0.007995196567198286
THA,1992,111453000000.0,0.01709315326064785
USA,1992,6520330000000.0,1.0
CHN,1993,444731000000.0,0.06484320323799748
HKG,1993,120354000000.0,0.017547998413661177
JPN,1993,4536940000000.0,0.6615003732561937
KOR,1993,392666000000.0,0.05725195959501703
MYS,1993,66894966969.0,0.00975350029291863
SAU,1993,132968000000.0,0.019387159986936034
SGP,1993,60603815716.0,0.00883623030432044
THA,1993,128889000000.0,0.01879242873139551
USA,1993,6858560000000.0,1.0
CHN,1994,564322000000.0,0.07743974399086623
HKG,1994,135812000000.0,0.018636959946426904
JPN,1994,4998800000000.0,0.6859661545386182
KOR,1994,463620000000.0,0.06362079470416783
MYS,1994,74478356958.0,0.010220379314802313
SAU,1994,135175000000.0,0.01854954687920255
SGP,1994,73688724431.0,0.01011202107121489
THA,1994,146684000000.0,0.020128882814343975
USA,1994,7287240000000.0,1.0
CHN,1995,734485000000.0,0.09613992604470041
HKG,1995,144652000000.0,0.018934127425635657
JPN,1995,5545560000000.0,0.7258823914395105
KOR,1995,566581000000.0,0.07416224352891129
MYS,1995,88705342903.0,0.011611026918812788
SAU,1995,143343000000.0,0.018762786740403808
SGP,1995,87812540788.0,0.011494164179194345
THA,1995,169279000000.0,0.02215766222716712
USA,1995,7639750000000.0,1.0
CHN,1996,863749000000.0,0.10699072973026537
HKG,1996,159718000000.0,0.019783924926174763
JPN,1996,4923390000000.0,0.6098497235269635
KOR,1996,610167000000.0,0.07558007313157739
MYS,1996,100855000000.0,0.012492691796975642
SAU,1996,158662000000.0,0.019653120478823553
SGP,1996,96293086513.0,0.01192761739116971
THA,1996,183035000000.0,0.02267215153497037
USA,1996,8073120000000.0,1.0
CHN,1997,961602000000.0,0.11210683703388497
HKG,1997,177353000000.0,0.02067641692557898
JPN,1997,4492450000000.0,0.523745125356308
KOR,1997,569755000000.0,0.0664239788750867
MYS,1997,100005000000.0,0.01165892358540609
