Year,Country,Partner Country,Adjusted_value
2023,IDN,THA,1.0
2023,IDN,SG,1.0
2023,IDN,USA,0.0
2024,SGP,CHN,1.0
2024,SGP,HKG,1.0
2024,SGP,JPN,1.0
2024,SGP,KOR,1.0
2024,SGP,MYS,1.0
2024,SGP,SAU,0.0
2024,SGP,THA,1.0
2024,SGP,USA,1.0
2024,CHN,HKG,1.0
2024,CHN,JPN,0.0
2024,CHN,KOR,1.0
2024,CHN,MYS,1.0
2024,CHN,SAU,1.0
2024,CHN,THA,1.0
2024,CHN,USA,0.0
2024,HKG,JPN,0.0
2024,HKG,KOR,0.0
2024,HKG,MYS,1.0
2024,HKG,SAU,0.0
2024,HKG,THA,1.0
2024,HKG,USA,0.0
2024,JPN,KOR,0.0
2024,JPN,MYS,1.0
2024,JPN,SAU,0.0
2024,JPN,THA,1.0
2024,JPN,USA,1.0
2024,KOR,MYS,1.0
2024,KOR,SAU,0.0
2024,KOR,THA,1.0
2024,KOR,USA,1.0
2024,MYS,SAU,0.0
2024,MYS,THA,1.0
2024,MYS,USA,0.0
2024,SAU,THA,0.0
2024,SAU,USA,0.0
2024,THA,USA,0.0
2024,IDN,CHN,1.0
2024,IDN,HKG,1.0
2024,IDN,JPN,1.0
2024,IDN,KOR,1.0
2024,IDN,MYS,1.0
2024,IDN,SAU,0.0
2024,IDN,THA,1.0
2024,IDN,SG,1.0
2024,IDN,USA,0.0
2009,CHN,SGP,1.0
2009,HKG,SGP,0.0
2009,JPN,SGP,1.0
2009,KOR,SGP,1.0
2009,MYS,SGP,1.0
2009,SAU,SGP,0.0
2009,THA,SGP,1.0
2009,USA,SGP,1.0
2009,HKG,CHN,1.0
2009,JPN,CHN,0.0
2009,KOR,CHN,0.0
2009,MYS,CHN,1.0
2009,SAU,CHN,0.0
2009,THA,CHN,1.0
2009,USA,CHN,0.0
2009,JPN,HKG,0.0
2009,KOR,HKG,0.0
2009,MYS,HKG,0.0
2009,SAU,HKG,0.0
2009,THA,HKG,1.0
2009,USA,HKG,0.0
2009,KOR,JPN,0.0
2009,MYS,JPN,1.0
2009,SAU,JPN,0.0
2009,THA,JPN,1.0
2009,USA,JPN,0.0
2009,MYS,KOR,1.0
2009,SAU,KOR,0.0
2009,THA,KOR,1.0
2009,USA,KOR,0.0
2009,SAU,MYS,1.0
2009,THA,MYS,1.0
2009,USA,MYS,0.0
2009,THA,SAU,0.0
2009,USA,SAU,0.0
2009,USA,THA,0.0
2009,CHN,IDN,1.0
2009,HKG,IDN,1.0
2009,JPN,IDN,1.0
2009,KOR,IDN,0.0
2009,MYS,IDN,1.0
2009,SAU,IDN,0.0
2009,THA,IDN,1.0
2009,SG,IDN,1.0
2009,USA,IDN,0.0
2010,CHN,IDN,1.0
2010,HKG,IDN,1.0
2010,JPN,IDN,1.0
2010,KOR,IDN,0.0
2010,MYS,IDN,1.0
2010,SAU,IDN,0.0
2010,THA,IDN,1.0
2010,SG,IDN,1.0
2010,USA,IDN,0.0
2010,CHN,SGP,1.0
2010,HKG,SGP,0.0
2010,JPN,SGP,1.0
2010,KOR,SGP,1.0
2010,MYS,SGP,1.0
2010,SAU,SGP,0.0
2010,THA,SGP,1.0
2010,USA,SGP,1.0
2010,HKG,CHN,1.0
2010,JPN,CHN,0.0
2010,KOR,CHN,0.0
2010,MYS,CHN,1.0
2010,SAU,CHN,0.0
2010,THA,CHN,1.0
2010,USA,CHN,0.0
2010,JPN,HKG,0.0
2010,KOR,HKG,0.0
2010,MYS,HKG,1.0
2010,SAU,HKG,0.0
2010,THA,HKG,1.0
2010,USA,HKG,0.0
2010,KOR,JPN,0.0
2010,MYS,JPN,1.0
2010,SAU,JPN,0.0
2010,THA,JPN,1.0
2010,USA,JPN,0.0
2010,MYS,KOR,1.0
2010,SAU,KOR,0.0
2010,THA,KOR,1.0
2010,USA,KOR,0.0
2010,SAU,MYS,1.0
2010,THA,MYS,1.0
2010,USA,MYS,0.0
2010,THA,SAU,0.0
2010,USA,SAU,0.0
2010,USA,THA,0.0
2011,CHN,SGP,1.0
2011,HKG,SGP,0.0
2011,JPN,SGP,1.0
2011,KOR,SGP,1.0
2011,MYS,SGP,1.0
2011,SAU,SGP,0.0
2011,THA,SGP,1.0
2011,USA,SGP,1.0
2011,HKG,CHN,1.0
2011,JPN,CHN,0.0
2011,KOR,CHN,0.0
2011,MYS,CHN,1.0
2011,SAU,CHN,0.0
2011,THA,CHN,1.0
2011,USA,CHN,0.0
2011,JPN,HKG,0.0
2011,KOR,HKG,0.0
2011,MYS,HKG,1.0
2011,SAU,HKG,0.0
2011,THA,HKG,1.0
2011,USA,HKG,0.0
2011,KOR,JPN,0.0
2011,MYS,JPN,1.0
2011,SAU,JPN,0.0
2011,THA,JPN,1.0
2011,USA,JPN,0.0
2011,MYS,KOR,1.0
2011,SAU,KOR,0.0
