Partner,HS Code,HS_Section,Predicted Exports,Target Year
Malaysia,27.0,27,1908804882.4428675,2026
Philippines,90.0,90,1282081957.0369442,2026
Philippines,85.0,85,6631017621.132447,2026
Philippines,84.0,84,4044680056.7307396,2026
Philippines,83.0,83,65659969.13733051,2026
Philippines,71.0,71,65659969.13733051,2026
Philippines,39.0,39,292154545.7287574,2026
Philippines,38.0,38,220473883.03303635,2026
Philippines,33.0,33,65659969.13733051,2026
Philippines,29.0,29,316336833.14505,2026
Philippines,27.0,27,688765159.3184502,2026
Saudi Arabia,90.0,90,261740141.71575645,2026
Saudi Arabia,85.0,85,1810859692.2043908,2026
Saudi Arabia,84.0,84,650596048.4276359,2026
Saudi Arabia,83.0,83,65659969.13733051,2026
Saudi Arabia,71.0,71,65659969.13733051,2026
Saudi Arabia,39.0,39,77376023.96363316,2026
Saudi Arabia,38.0,38,96181527.60662366,2026
Saudi Arabia,33.0,33,65659969.13733051,2026
Saudi Arabia,29.0,29,65659969.13733051,2026
Saudi Arabia,27.0,27,196896995.15413114,2026
South Korea,90.0,90,1097838220.8012266,2026
South Korea,85.0,85,8843283292.883041,2026
South Korea,84.0,84,5824133130.359583,2026
South Korea,83.0,83,65659969.13733051,2026
South Korea,71.0,71,73401363.99951242,2026
South Korea,39.0,39,256381719.96407703,2026
South Korea,38.0,38,189162094.3147726,2026
South Korea,33.0,33,111238543.98054506,2026
South Korea,29.0,29,681852412.6321481,2026
South Korea,27.0,27,1754902197.0510516,2026
Thailand,90.0,90,1335077170.6220088,2026
Thailand,85.0,85,7445131682.931716,2026
Thailand,84.0,84,5177578144.709506,2026
Thailand,83.0,83,65659969.13733051,2026
Thailand,71.0,71,73519086.39591119,2026
Thailand,39.0,39,854194796.8697735,2026
Thailand,38.0,38,407438574.22328067,2026
Thailand,33.0,33,105527843.53994712,2026
Thailand,29.0,29,444212170.5915048,2026
Thailand,27.0,27,1821557673.885675,2026
United Arab Emirates,90.0,90,806376328.3547506,2026
United Arab Emirates,85.0,85,4261578196.472221,2026
United Arab Emirates,84.0,84,2088164379.3822439,2026
United Arab Emirates,83.0,83,65659969.13733051,2026
United Arab Emirates,71.0,71,65659969.13733051,2026
United Arab Emirates,39.0,39,628881275.0159472,2026
United Arab Emirates,38.0,38,192206217.89029253,2026
United Arab Emirates,33.0,33,65659969.13733051,2026
United Arab Emirates,29.0,29,164400522.3481965,2026
United Arab Emirates,27.0,27,1065393169.2174412,2026
United States of America,90.0,90,4092736767.853651,2026
United States of America,85.0,85,26489122129.84347,2026
United States of America,84.0,84,22234662854.61303,2026
United States of America,83.0,83,65659969.13733051,2026
United States of America,71.0,71,325096340.3527551,2026
United States of America,39.0,39,1877368018.4822598,2026
United States of America,38.0,38,849086243.3628832,2026
United States of America,33.0,33,312545745.6238813,2026
