ReporterName,PartnerName,ProductCode,Year,TradeValue in 1000 USD_Export,TradeValue in 1000 USD_Import,Total_Trade,HS Code,4 digit categories,Product descriptions
Singapore,Malaysia,71,2023,2133986.244,1254620.153,3388606.397,71.0,7101 - 7118,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin"
Singapore,Malaysia,19,2023,116771.461,241745.827,358517.288,19.0,1901 - 1905,"Preparations of cereals, flour, starch or milk; pastrycooks' products"
Singapore,Malaysia,81,2023,4588.502,5225.473,9813.975,81.0,8101 - 8113,Other base metals; cermets; articles thereof
Singapore,Malaysia,87,2023,340364.473,486083.128,826447.601,87.0,8701 - 8716,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof"
Singapore,Malaysia,86,2023,8040.815,5043.88,13084.695,86.0,8601 - 8609,"Railway or tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds"
Singapore,Malaysia,85,2023,15210681.73,17361247.95,32571929.68,85.0,8501 - 8548,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles"
Singapore,Malaysia,84,2023,5559159.483,5789620.176,11348779.659,84.0,8401 - 8487,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof"
Singapore,Malaysia,83,2023,65194.512,64718.357,129912.869,83.0,8301 - 8311,Miscellaneous articles of base metal
Singapore,Malaysia,82,2023,100363.377,13190.021,113553.39799999999,82.0,8201 - 8215,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"
Singapore,Malaysia,80,2023,29465.409,15713.545,45178.954,80.0,8001 - 8007,Tin and articles thereof
Singapore,Malaysia,72,2023,440226.181,542211.622,982437.803,72.0,7201 - 7229,Iron and steel
Singapore,Malaysia,79,2023,22896.269,7515.645,30411.914,79.0,7901 - 7907,Zinc and articles thereof
Singapore,Malaysia,78,2023,6362.623,3138.889,9501.511999999999,78.0,7801 - 7806,Lead and articles thereof
Singapore,Malaysia,76,2023,193129.209,237578.885,430708.09400000004,76.0,7601 - 7616,Aluminium and articles thereof
Singapore,Malaysia,75,2023,23033.974,10469.095,33503.068999999996,75.0,7501 - 7508,Nickel and articles thereof
Singapore,Malaysia,74,2023,199445.688,193270.316,392716.00399999996,74.0,7401 - 7419,Copper and articles thereof
Singapore,Malaysia,73,2023,461269.19,750140.157,1211409.347,73.0,7301 - 7326,Articles of iron or steel
Singapore,Malaysia,54,2023,6977.078,4838.873,11815.951000000001,54.0,5401 - 5408,"Sewing thread of man-made filaments, whether or not put up for retail sale"
Singapore,Malaysia,53,2023,235.617,60.68,296.29699999999997,53.0,5301 - 5311,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn
Singapore,Malaysia,52,2023,2555.556,4508.119,7063.674999999999,52.0,5201 - 5212,Cotton
Singapore,Malaysia,27,2023,11571587.11,10537128.22,22108715.33,27.0,2701 - 2715,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
Singapore,Malaysia,33,2023,373424.886,82348.398,455773.284,33.0,3301 - 3307,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"
Singapore,Malaysia,32,2023,169242.732,277150.863,446393.595,32.0,3201 - 3215,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks"
Singapore,Malaysia,31,2023,7619.589,3296.463,10916.052,31.0,3101 - 3105,Fertilisers
Singapore,Malaysia,30,2023,221657.606,100887.827,322545.433,30.0,3001 - 3006,Pharmaceutical products
Singapore,Malaysia,29,2023,722809.408,353294.849,1076104.257,29.0,2901 - 2942,Organic chemicals
Singapore,Malaysia,28,2023,173410.521,101167.95,274578.471,28.0,2801 - 2853,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes"
Singapore,Malaysia,26,2023,3078.668,29473.613,32552.281000000003,26.0,2601 - 2621,"Ores, slag and ash"
Singapore,Malaysia,51,2023,255.22,29.975,285.195,51.0,5101 - 5113,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"
Singapore,Malaysia,25,2023,9793.01,396032.21,405825.22000000003,25.0,2501 - 2530,"Salt; sulphur; earths and stone; plastering materials, lime and cement"
Singapore,Malaysia,24,2023,14344.002,538.96,14882.962,24.0,2401 - 2403,Tobacco and manufactured tobacco substitutes
Singapore,Malaysia,23,2023,28389.695,69897.221,98286.916,23.0,2301 - 2309,Residues and waste from the food industries; prepared animal fodder
Singapore,Malaysia,22,2023,258667.993,258540.613,517208.606,22.0,2201 - 2209,"Beverages, spirits and vinegar"
Singapore,Malaysia,21,2023,270108.169,222019.79,492127.95900000003,21.0,2101 - 2106,Miscellaneous edible preparations
Singapore,Malaysia,20,2023,12421.506,60695.295,73116.80099999999,20.0,2001 - 2009,"Preparations of vegetables, fruit, nuts or other parts of plants"
Singapore,Malaysia,34,2023,137433.365,73338.062,210771.427,34.0,3401 - 3407,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster"
Singapore,Malaysia,35,2023,43278.752,14333.223,57611.975,35.0,3501 - 3507,Albuminoidal substances; modified starches; glues; enzymes
Singapore,Malaysia,36,2023,1761.72,1278.434,3040.154,36.0,3601 - 3606,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations
Singapore,Malaysia,37,2023,13760.588,6863.172,20623.76,37.0,3701 - 3707,Photographic or cinematographic goods
Singapore,Malaysia,38,2023,337962.912,348723.441,686686.353,38.0,3801 - 3825,Miscellaneous chemical products
Singapore,Malaysia,39,2023,1181721.886,982337.369,2164059.255,39.0,3901 - 3926,Plastics and articles thereof
Singapore,Malaysia,40,2023,123514.999,127706.476,251221.47499999998,40.0,4001 - 4017,Rubber and articles thereof
Singapore,Malaysia,41,2023,1011.053,1348.991,2360.044,41.0,4101 - 4115,Raw hides and skins (other than furskins) and leather
Singapore,Malaysia,42,2023,178350.679,9311.478,187662.157,42.0,4201 - 4206,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"
Singapore,Malaysia,43,2023,804.34,119.08,923.4200000000001,43.0,4301 - 4304,Furskins and artificial fur; manufactures thereof
Singapore,Malaysia,44,2023,13988.42,171289.153,185277.573,44.0,4401 - 4421,Wood and articles of wood; wood charcoal
Singapore,Malaysia,45,2023,256.352,28.647,284.99899999999997,45.0,4501 - 4504,Cork and articles of cork
Singapore,Malaysia,46,2023,212.096,153.508,365.60400000000004,46.0,4601 - 4602,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"
Singapore,Malaysia,47,2023,13882.953,5545.927,19428.879999999997,47.0,4701 - 4707,Pulp of wood or of other fibrous cellulosic material; waste and scrap of paper or paperboard
Singapore,Malaysia,48,2023,100431.482,295374.362,395805.84400000004,48.0,4801 - 4823,"Paper and paperboard; articles of paper pulp, of paper or of paperboard"
Singapore,Malaysia,49,2023,37154.193,69117.558,106271.751,49.0,4901 - 4911,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans"
Singapore,Malaysia,50,2023,850.117,965.681,1815.798,50.0,5001 - 5007,Silk
Singapore,"Korea, Rep.",44,2023,252.306,590.363,842.6690000000001,44.0,4401 - 4421,Wood and articles of wood; wood charcoal
Singapore,"Korea, Rep.",42,2023,10171.821,6921.167,17092.988,42.0,4201 - 4206,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"
Singapore,Indonesia,94,2023,64631.365,55107.84,119739.20499999999,94.0,9401 - 9406,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings"
Singapore,Japan,41,2023,125.617,25.084,150.701,41.0,4101 - 4115,Raw hides and skins (other than furskins) and leather
Singapore,Japan,47,2023,110.837,45.765,156.602,47.0,4701 - 4707,Pulp of wood or of other fibrous cellulosic material; waste and scrap of paper or paperboard
Singapore,Japan,46,2023,22.359,121.072,143.431,46.0,4601 - 4602,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"
Singapore,Japan,45,2023,0.101,299.262,299.363,45.0,4501 - 4504,Cork and articles of cork
Singapore,Japan,44,2023,2384.626,2669.74,5054.366,44.0,4401 - 4421,Wood and articles of wood; wood charcoal
Singapore,Japan,43,2023,4515.238,5.563,4520.801,43.0,4301 - 4304,Furskins and artificial fur; manufactures thereof
Singapore,Japan,42,2023,823875.942,14818.208,838694.15,42.0,4201 - 4206,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"
Singapore,Japan,40,2023,90930.645,105987.443,196918.088,40.0,4001 - 4017,Rubber and articles thereof
Singapore,Japan,49,2023,59741.051,6224.134,65965.185,49.0,4901 - 4911,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans"
Singapore,Japan,39,2023,343928.223,362001.853,705930.076,39.0,3901 - 3926,Plastics and articles thereof
Singapore,Japan,38,2023,394408.815,539915.017,934323.8319999999,38.0,3801 - 3825,Miscellaneous chemical products
Singapore,Japan,37,2023,18756.1,132085.592,150841.692,37.0,3701 - 3707,Photographic or cinematographic goods
Singapore,Japan,36,2023,1311.011,317.072,1628.083,36.0,3601 - 3606,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations
Singapore,Japan,35,2023,14735.41,9262.587,23997.997,35.0,3501 - 3507,Albuminoidal substances; modified starches; glues; enzymes
Singapore,Japan,34,2023,40962.686,86112.939,127075.625,34.0,3401 - 3407,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster"
Singapore,Japan,48,2023,16690.905,48175.079,64865.984,48.0,4801 - 4823,"Paper and paperboard; articles of paper pulp, of paper or of paperboard"
Singapore,Japan,50,2023,7.505,22.717,30.221999999999998,50.0,5001 - 5007,Silk
Singapore,Japan,32,2023,19817.544,92565.588,112383.13200000001,32.0,3201 - 3215,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks"
Singapore,Japan,59,2023,1267.064,9902.347,11169.411,59.0,5901 - 5911,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use"
Singapore,Japan,65,2023,9072.233,2359.129,11431.362000000001,65.0,6501 - 6507,Headgear and parts thereof
Singapore,Japan,64,2023,76665.345,4863.43,81528.775,64.0,6401 - 6406,"Footwear, gaiters and the like; parts of such articles"
Singapore,Japan,63,2023,12292.783,4832.253,17125.036,63.0,6301 - 6310,Other made up textile articles; sets; worn clothing and worn textile articles; rags
Singapore,Japan,62,2023,116948.136,10867.37,127815.506,62.0,6201 - 6217,"Articles of apparel and clothing accessories, not knitted or crocheted"
Singapore,Japan,61,2023,59463.488,14079.525,73543.01299999999,61.0,6101 - 6117,"Articles of apparel and clothing accessories, knitted or crocheted"
Singapore,Japan,60,2023,30.71,234.258,264.968,60.0,6001 - 6006,Knitted or crocheted fabrics
Singapore,Japan,58,2023,955.454,473.992,1429.446,58.0,5801 - 5811,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery
Singapore,Japan,51,2023,29.233,28.95,58.183,51.0,5101 - 5113,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"
Singapore,Japan,57,2023,258.593,194.564,453.15700000000004,57.0,5701 - 5705,Carpets and other textile floor coverings
Singapore,Japan,56,2023,616.397,4702.81,5319.207,56.0,5601 - 5609,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"
Singapore,Japan,55,2023,42.073,18119.382,18161.455,55.0,5501 - 5516,Man-made staple fibres
Singapore,Japan,54,2023,4.567,8097.703,8102.27,54.0,5401 - 5408,"Sewing thread of man-made filaments, whether or not put up for retail sale"
Singapore,Japan,53,2023,,6.768,6.768,53.0,5301 - 5311,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn
Singapore,Japan,52,2023,14.834,1025.636,1040.47,52.0,5201 - 5212,Cotton
Singapore,Japan,33,2023,402090.941,570434.79,972525.731,33.0,3301 - 3307,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"
Singapore,Japan,31,2023,131.56,258.535,390.095,31.0,3101 - 3105,Fertilisers
Singapore,China,1,2023,4.279,575.495,579.774,1.0,0101 - 0106,Live animals
Singapore,Japan,5,2023,,1806.736,1806.736,5.0,0501 - 0511,"Products of animal origin, not elsewhere specified or included"
Singapore,Japan,11,2023,732.554,10376.328,11108.882,11.0,1101 - 1109,Products of the milling industry; malt; starches; inulin; wheat gluten
Singapore,Japan,10,2023,9.213,9126.302,9135.515,10.0,1001 - 1008,Cereals
Singapore,Japan,9,2023,6419.865,8637.789,15057.654,9.0,0901 - 0910,"Coffee, tea, mate and spices"
Singapore,Japan,8,2023,9.326,14129.529,14138.855,8.0,0801 - 0814,Edible fruit and nuts; peel of citrus fruit or melons
Singapore,Japan,7,2023,0.391,15970.855,15971.246,7.0,0701 - 0714,Edible vegetables and certain roots and tubers
Singapore,Japan,6,2023,3099.74,1050.582,4150.322,6.0,0601 - 0604,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"
Singapore,Japan,4,2023,77652.891,10091.085,87743.976,4.0,0401 - 0410,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
Singapore,Japan,13,2023,583.548,416.126,999.674,13.0,1301 - 1302,"Lac; gums, resins and other vegetable saps and extracts"
Singapore,Japan,3,2023,11492.659,83889.658,95382.317,3.0,0301 - 0307,"Fish and crustaceans, molluscs and other aquatic invertebrates"
Singapore,Japan,2,2023,,28699.932,28699.932,2.0,0201 - 0210,Meat and edible meat offal
Singapore,Japan,1,2023,276.194,253.38,529.5740000000001,1.0,0101 - 0106,Live animals
Singapore,Indonesia,99,2023,773929.154,569232.969,1343162.1230000001,,,
Singapore,Indonesia,97,2023,10147.039,8758.459,18905.498,97.0,9701 - 9706,"Works of art, collectors' pieces, and antiques"
Singapore,Indonesia,96,2023,36883.333,18085.601,54968.933999999994,96.0,9601 - 9618,Miscellaneous manufactured articles
Singapore,Japan,12,2023,2667.423,2691.315,5358.737999999999,12.0,1201 - 1214,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants ; straw and fodder"
Singapore,Japan,14,2023,77.932,16.86,94.792,14.0,1401 - 1404,Vegetable plaiting materials; vegetable products not elsewhere specified or included
Singapore,Japan,30,2023,1109013.239,100298.465,1209311.7040000001,30.0,3001 - 3006,Pharmaceutical products
